guid,tag
1395,positive
5015,positive
1297,positive
4656,positive
2503,positive
896,positive
4482,positive
4726,positive
344,negative
2842,negative
3076,neutral
71,positive
607,positive
4264,negative
1827,positive
1457,neutral
3866,neutral
371,negative
3540,positive
1424,positive
1955,negative
114,positive
451,negative
1669,positive
3611,positive
4017,positive
1314,positive
2895,negative
3614,positive
985,neutral
3233,negative
499,positive
4426,positive
2718,negative
3796,positive
4364,negative
2688,negative
3073,neutral
1538,negative
3031,positive
4782,positive
3214,positive
4293,positive
5095,positive
265,positive
3712,positive
2543,positive
4934,positive
4565,positive
4066,negative
2506,positive
901,negative
3681,positive
799,positive
3950,negative
860,positive
2600,positive
354,negative
3763,positive
4602,negative
2571,positive
2100,negative
2446,positive
4993,positive
188,negative
481,positive
412,positive
2854,positive
5067,negative
2456,positive
1244,positive
5120,positive
474,positive
3413,negative
7,positive
1010,negative
1334,positive
3418,positive
4268,positive
4484,positive
4568,positive
4193,positive
1392,positive
61,positive
2580,positive
4487,negative
208,negative
661,negative
2490,positive
3463,neutral
1137,positive
2440,positive
3091,positive
4444,positive
465,positive
3314,negative
3549,negative
1178,positive
263,positive
4618,positive
16,positive
2684,neutral
4505,positive
547,positive
2061,positive
209,positive
1331,negative
314,positive
1595,positive
1789,positive
4035,negative
1581,neutral
165,neutral
3493,positive
62,positive
2363,negative
4333,negative
871,negative
2796,neutral
2060,neutral
2311,neutral
1458,positive
4725,positive
1152,positive
4167,negative
143,positive
2775,positive
3918,negative
1489,positive
3257,negative
2045,positive
130,negative
1396,negative
4553,positive
3771,negative
2540,positive
4657,neutral
4282,negative
705,positive
725,positive
4558,neutral
1739,negative
3098,positive
910,negative
763,positive
2557,positive
957,negative
1027,negative
4503,positive
4511,positive
5010,positive
4420,negative
4608,positive
1142,negative
4540,positive
528,neutral
434,positive
1967,negative
1614,positive
1634,positive
3797,neutral
1355,positive
1132,positive
299,positive
899,negative
2593,positive
2005,neutral
671,negative
1442,positive
3588,positive
4476,negative
2330,negative
1926,negative
1279,neutral
1068,neutral
1690,positive
2811,positive
1882,positive
929,negative
4077,positive
3159,neutral
3661,negative
4381,negative
3453,negative
3503,positive
4021,positive
1531,positive
1040,positive
4189,positive
1112,positive
3685,neutral
865,neutral
1765,positive
4730,positive
4972,positive
4887,negative
2891,positive
3501,negative
2373,positive
1688,positive
4924,negative
3724,positive
234,negative
1125,neutral
891,positive
1377,positive
4652,negative
2996,positive
959,negative
4266,negative
2711,positive
2804,neutral
3466,positive
892,positive
488,positive
4960,positive
2785,positive
2741,negative
4909,positive
723,negative
1651,positive
3543,negative
1798,positive
4992,positive
274,positive
3817,positive
4002,negative
3863,positive
5117,negative
1971,positive
2934,positive
4813,neutral
4147,neutral
3090,negative
2941,positive
563,positive
4620,positive
2384,positive
2819,positive
1968,positive
2797,positive
4869,positive
977,positive
3168,negative
2598,positive
3349,positive
2135,positive
2948,negative
4,positive
1069,negative
2449,positive
999,neutral
4607,positive
4329,positive
4755,negative
1288,negative
4664,positive
2044,neutral
3487,positive
3318,neutral
2990,positive
5080,positive
2699,negative
3931,positive
4303,negative
737,positive
1987,positive
2002,negative
1092,positive
1985,positive
4880,negative
3829,neutral
4939,negative
3213,negative
1856,negative
3621,positive
3458,positive
3800,negative
3793,negative
2552,neutral
3869,neutral
1957,negative
3721,negative
4902,negative
1410,negative
4327,positive
1583,negative
333,negative
3828,negative
2812,negative
4285,positive
1956,positive
4215,positive
535,positive
3365,negative
1388,positive
1179,neutral
4570,negative
4326,positive
806,positive
4815,negative
3249,positive
1422,positive
877,negative
2361,neutral
543,negative
52,negative
1749,positive
3080,negative
4161,negative
4713,positive
2067,negative
3769,negative
4508,positive
3781,negative
5045,positive
1026,neutral
4296,negative
4472,negative
3706,positive
553,positive
3205,negative
4298,negative
107,positive
1530,negative
1473,positive
198,neutral
1646,positive
507,positive
1586,positive
4872,positive
1777,negative
4125,negative
5125,positive
859,positive
4302,positive
3143,positive
1080,positive
1916,negative
392,negative
3386,positive
1901,positive
3454,positive
63,positive
3015,neutral
4494,negative
4627,negative
4954,positive
3885,negative
1275,positive
138,positive
3723,negative
4584,negative
430,negative
907,positive
1801,positive
1441,neutral
1605,positive
3655,negative
4935,positive
2870,positive
1795,positive
4969,positive
1624,positive
2654,negative
1016,neutral
3585,negative
3099,positive
2006,positive
4696,negative
678,neutral
1730,negative
883,negative
796,positive
3840,positive
4589,positive
4705,negative
4575,positive
2761,neutral
4676,positive
809,positive
2672,negative
820,positive
128,positive
4785,positive
1563,positive
3079,negative
4489,positive
3878,negative
4131,positive
258,negative
1532,negative
757,positive
473,negative
1843,positive
4528,positive
1598,positive
3990,positive
1627,negative
203,negative
1506,positive
4224,negative
1917,positive
1185,positive
979,positive
67,positive
4391,positive
3834,neutral
4370,negative
1225,positive
551,negative
1677,positive
3729,positive
2867,positive
2695,positive
1340,negative
367,negative
1212,positive
4878,negative
5025,negative
2868,neutral
3385,positive
1728,positive
3185,positive
4321,positive
1691,neutral
1471,neutral
440,positive
3623,positive
2453,neutral
3708,positive
4672,positive
3717,neutral
612,positive
4158,negative
1348,positive
216,positive
3193,negative
4561,positive
2839,negative
1571,negative
3245,positive
1758,positive
